pair_id,method,n,acc,risk_n,c2w_count,c2w_rate
phi4_14b__qwen36_27b_standard_v19,4cand_confidence,500,0.316,213,69,0.323943661971831
phi4_14b__qwen36_27b_standard_v19,4cand_majority,500,0.61,213,8,0.03755868544600939
phi4_14b__qwen36_27b_standard_v19,agent_topic_reliability,500,0.698,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,oracle_candidate,500,0.736,213,0,0.0
phi4_14b__qwen36_27b_standard_v19,overall_reliability,500,0.672,213,16,0.07511737089201878
phi4_14b__qwen36_27b_standard_v19,pac_math_accuracy_first,500,0.69,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_adaptive_accuracy,500,0.696,213,15,0.07042253521126761
phi4_14b__qwen36_27b_standard_v19,pac_math_adaptive_learned,500,0.696,213,15,0.07042253521126761
phi4_14b__qwen36_27b_standard_v19,pac_math_adaptive_safety,500,0.696,213,15,0.07042253521126761
phi4_14b__qwen36_27b_standard_v19,pac_math_anchor_gate,500,0.408,213,9,0.04225352112676056
phi4_14b__qwen36_27b_standard_v19,pac_math_cross_stage_support,500,0.416,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_independent_only,500,0.386,213,20,0.09389671361502347
phi4_14b__qwen36_27b_standard_v19,pac_math_pair_topic_stage,500,0.698,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_pair_topic_stage_guard,500,0.698,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_pair_topic_stage_support_sum,500,0.66,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_router_accuracy,500,0.698,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_router_balanced,500,0.698,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_router_safety,500,0.696,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_safety_first,500,0.686,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_stage_gate,500,0.698,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,pac_math_utility,500,0.686,213,5,0.023474178403755867
phi4_14b__qwen36_27b_standard_v19,stateless_debate,500,0.672,213,16,0.07511737089201878
qwen36_27b__phi4_14b_standard_v19,4cand_confidence,500,0.422,218,21,0.0963302752293578
qwen36_27b__phi4_14b_standard_v19,4cand_majority,500,0.618,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,agent_topic_reliability,500,0.694,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,oracle_candidate,500,0.752,218,0,0.0
qwen36_27b__phi4_14b_standard_v19,overall_reliability,500,0.682,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_accuracy_first,500,0.694,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_adaptive_accuracy,500,0.708,218,15,0.06880733944954129
qwen36_27b__phi4_14b_standard_v19,pac_math_adaptive_learned,500,0.708,218,15,0.06880733944954129
qwen36_27b__phi4_14b_standard_v19,pac_math_adaptive_safety,500,0.708,218,15,0.06880733944954129
qwen36_27b__phi4_14b_standard_v19,pac_math_anchor_gate,500,0.418,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_cross_stage_support,500,0.42,218,8,0.03669724770642202
qwen36_27b__phi4_14b_standard_v19,pac_math_independent_only,500,0.394,218,21,0.0963302752293578
qwen36_27b__phi4_14b_standard_v19,pac_math_pair_topic_stage,500,0.694,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_pair_topic_stage_guard,500,0.694,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_pair_topic_stage_support_sum,500,0.664,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_router_accuracy,500,0.696,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_router_balanced,500,0.696,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_router_safety,500,0.67,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_safety_first,500,0.682,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_stage_gate,500,0.694,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,pac_math_utility,500,0.694,218,9,0.04128440366972477
qwen36_27b__phi4_14b_standard_v19,stateless_debate,500,0.676,218,11,0.05045871559633028
