method_a,method_b,both_correct,a_correct_b_wrong,a_wrong_b_correct,both_wrong,discordant_pairs,statistic,pvalue,note,pvalue_holm,reject_holm_0p05
pac_math_router_balanced,stateless_debate,664,33,10,293,43,11.255813953488373,0.0007937400865612488,ok,0.011112361211857482,True
pac_math_router_balanced,4cand_majority,613,84,1,302,85,79.10588235294118,5.886878827597019e-19,ok,9.41900612415523e-18,True
pac_math_router_balanced,4cand_confidence,362,335,7,296,342,312.6578947368421,5.757421865837695e-70,ok,1.1514843731675389e-68,True
pac_math_router_balanced,overall_reliability,667,30,10,293,40,9.025,0.002663119259138558,ok,0.0319574311096627,True
pac_math_router_balanced,agent_topic_reliability,695,2,1,302,3,0.0,1.0,ok,1.0,False
pac_math_router_balanced,pac_math_pair_topic_stage_support_sum,660,37,2,301,39,29.641025641025642,5.1992785565346994e-08,ok,7.798917834802049e-07,True
pac_math_router_balanced,pac_math_pair_topic_stage_guard,695,2,1,302,3,0.0,1.0,ok,1.0,False
pac_math_router_balanced,pac_math_independent_only,387,310,3,300,313,299.15654952076676,5.029579409034593e-67,ok,9.556200877165727e-66,True
pac_math_router_balanced,pac_math_safety_first,681,16,3,300,19,7.578947368421052,0.00590539153259325,ok,0.06495930685852574,False
pac_math_router_balanced,pac_math_utility,687,10,3,300,13,2.769230769230769,0.0960923294556734,ok,0.9609232945567341,False
pac_math_router_balanced,pac_math_accuracy_first,689,8,3,300,11,1.4545454545454546,0.22779999398822554,ok,1.0,False
pac_math_router_balanced,pac_math_anchor_gate,411,286,2,301,288,278.08680555555554,1.9611886568342063e-62,ok,3.5301395823015714e-61,True
pac_math_router_balanced,pac_math_cross_stage_support,415,282,3,300,285,271.1719298245614,6.302230270157447e-61,ok,1.0713791459267658e-59,True
pac_math_router_balanced,pac_math_stage_gate,695,2,1,302,3,0.0,1.0,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_learned,679,18,23,280,41,0.3902439024390244,0.5321712241488488,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_accuracy,679,18,23,280,41,0.3902439024390244,0.5321712241488488,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_safety,679,18,23,280,41,0.3902439024390244,0.5321712241488488,ok,1.0,False
pac_math_router_balanced,pac_math_router_accuracy,697,0,0,303,0,0.0,1.0,no_discordant_pairs,1.0,False
pac_math_router_balanced,pac_math_router_safety,682,15,1,302,16,10.5625,0.0011540500847815342,ok,0.015002651102159944,True
pac_math_router_balanced,pac_math_pair_topic_stage,695,2,1,302,3,0.0,1.0,ok,1.0,False
