method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds,mean_full_run_tokens,mean_full_run_wall_time_seconds
4cand_confidence,1000,0.369,431,90,0.2088167053364269,569,28,0.0492091388400703,0.7911832946635731,0.744,0.375,4146.889,40.708778853636005,4146.889,69.52452430987358
4cand_majority,1000,0.614,431,17,0.03944315545243619,569,200,0.351493848857645,0.9605568445475638,0.744,0.13,4146.889,40.708778853636005,4146.889,69.52452430987358
agent_topic_reliability,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.9675174013921114,0.744,0.04800000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
oracle_candidate,1000,0.744,431,0,0.0,569,313,0.5500878734622144,1.0,0.744,0.0,4146.889,40.708778853636005,4146.889,69.52452430987358
overall_reliability,1000,0.677,431,25,0.058004640371229696,569,271,0.47627416520210897,0.9419953596287703,0.744,0.06699999999999995,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_accuracy_first,1000,0.692,431,14,0.03248259860788863,569,275,0.4833040421792619,0.9675174013921114,0.744,0.052000000000000046,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_adaptive_accuracy,1000,0.702,431,30,0.06960556844547564,569,301,0.5289982425307557,0.9303944315545244,0.744,0.04200000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_adaptive_learned,1000,0.702,431,30,0.06960556844547564,569,301,0.5289982425307557,0.9303944315545244,0.744,0.04200000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_adaptive_safety,1000,0.702,431,30,0.06960556844547564,569,301,0.5289982425307557,0.9303944315545244,0.744,0.04200000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_anchor_gate,1000,0.413,431,18,0.04176334106728538,569,0,0.0,0.9582366589327146,0.744,0.331,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_cross_agent_anchor_gate,1000,0.614,431,17,0.03944315545243619,569,200,0.351493848857645,0.9605568445475638,0.744,0.13,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_cross_stage_support,1000,0.418,431,13,0.030162412993039442,569,0,0.0,0.9698375870069605,0.744,0.326,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_independent_only,1000,0.39,431,41,0.0951276102088167,569,0,0.0,0.9048723897911833,0.744,0.354,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_pair_topic_stage,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.9675174013921114,0.744,0.04800000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_pair_topic_stage_guard,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.9675174013921114,0.744,0.04800000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_pair_topic_stage_support_sum,1000,0.662,431,14,0.03248259860788863,569,245,0.4305799648506151,0.9675174013921114,0.744,0.08199999999999996,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_router_accuracy,1000,0.697,431,14,0.03248259860788863,569,280,0.492091388400703,0.9675174013921114,0.744,0.04700000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_router_balanced,1000,0.697,431,14,0.03248259860788863,569,280,0.492091388400703,0.9675174013921114,0.744,0.04700000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_router_safety,1000,0.683,431,14,0.03248259860788863,569,266,0.46748681898066785,0.9675174013921114,0.744,0.06099999999999994,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_safety_first,1000,0.684,431,14,0.03248259860788863,569,267,0.46924428822495606,0.9675174013921114,0.744,0.05999999999999994,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_stage_gate,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.9675174013921114,0.744,0.04800000000000004,4146.889,40.708778853636005,4146.889,69.52452430987358
pac_math_utility,1000,0.69,431,14,0.03248259860788863,569,273,0.4797891036906854,0.9675174013921114,0.744,0.05400000000000005,4146.889,40.708778853636005,4146.889,69.52452430987358
single_A,1000,0.308,431,123,0.2853828306264501,569,0,0.0,0.7146171693735499,0.744,0.436,500.087,8.066075016811,4146.889,69.52452430987358
single_B,1000,0.305,431,126,0.2923433874709977,569,0,0.0,0.7076566125290024,0.744,0.439,497.397,8.010424019444,4146.889,69.52452430987358
stateless_debate,1000,0.674,431,27,0.06264501160092807,569,270,0.47451669595782076,0.9373549883990719,0.744,0.06999999999999995,4146.889,40.708778853636005,4146.889,69.52452430987358
