method,acc,c2w_count,c2w_rate,preservation,selected_A0,selected_B0,selected_A1,selected_B1
stateless_debate,0.386,75,0.22189349112426035,0.7781065088757396,0,0,916,84
4cand_majority,0.328,65,0.19230769230769232,0.8076923076923077,531,220,181,68
4cand_confidence,0.23,110,0.3254437869822485,0.6745562130177515,693,243,52,12
overall_reliability,0.41,71,0.21005917159763313,0.7899408284023669,0,0,500,500
agent_topic_reliability,0.41,69,0.20414201183431951,0.7958579881656804,0,0,500,500
pac_math_pair_topic_stage,0.41,69,0.20414201183431951,0.7958579881656804,0,0,500,500
pac_math_pair_topic_stage_support_sum,0.354,61,0.1804733727810651,0.8195266272189349,394,293,218,95
pac_math_pair_topic_stage_guard,0.41,69,0.20414201183431951,0.7958579881656804,0,0,500,500
pac_math_independent_only,0.228,110,0.3254437869822485,0.6745562130177515,500,500,0,0
pac_math_safety_first,0.386,72,0.21301775147928995,0.7869822485207101,0,0,317,683
pac_math_utility,0.41,69,0.20414201183431951,0.7958579881656804,0,0,500,500
pac_math_accuracy_first,0.41,69,0.20414201183431951,0.7958579881656804,0,0,500,500
pac_math_anchor_gate,0.274,64,0.1893491124260355,0.8106508875739645,158,124,665,53
pac_math_cross_stage_support,0.279,59,0.17455621301775148,0.8254437869822485,465,373,110,52
pac_math_stage_gate,0.41,69,0.20414201183431951,0.7958579881656804,0,0,500,500
pac_math_adaptive_learned,0.423,70,0.20710059171597633,0.7928994082840237,73,88,380,459
pac_math_adaptive_accuracy,0.423,70,0.20710059171597633,0.7928994082840237,73,88,380,459
pac_math_adaptive_safety,0.423,70,0.20710059171597633,0.7928994082840237,73,88,380,459
pac_math_router_balanced,0.41,68,0.20118343195266272,0.7988165680473372,19,21,638,322
pac_math_router_accuracy,0.408,68,0.20118343195266272,0.7988165680473372,19,21,597,363
pac_math_router_safety,0.382,57,0.16863905325443787,0.8313609467455622,206,159,521,114
oracle_candidate,0.515,0,0.0,1.0,713,110,120,57
