method,topic,n,accuracy,c2w_flip_rate
4cand_confidence,algebra,248,0.22983870967741934,0.40625
4cand_confidence,counting_&_probability,76,0.27631578947368424,0.3225806451612903
4cand_confidence,geometry,82,0.23170731707317074,0.2916666666666667
4cand_confidence,intermediate_algebra,194,0.21649484536082475,0.2631578947368421
4cand_confidence,number_theory,124,0.20161290322580644,0.375
4cand_confidence,prealgebra,164,0.3048780487804878,0.24242424242424243
4cand_confidence,precalculus,112,0.14285714285714285,0.3333333333333333
4cand_majority,algebra,248,0.4112903225806452,0.1875
4cand_majority,counting_&_probability,76,0.3815789473684211,0.12903225806451613
4cand_majority,geometry,82,0.2926829268292683,0.16666666666666666
4cand_majority,intermediate_algebra,194,0.23195876288659795,0.3157894736842105
4cand_majority,number_theory,124,0.33064516129032256,0.2
4cand_majority,prealgebra,164,0.40853658536585363,0.13636363636363635
4cand_majority,precalculus,112,0.17857142857142858,0.16666666666666666
agent_topic_reliability,algebra,248,0.532258064516129,0.21875
agent_topic_reliability,counting_&_probability,76,0.4342105263157895,0.1935483870967742
agent_topic_reliability,geometry,82,0.32926829268292684,0.25
agent_topic_reliability,intermediate_algebra,194,0.26804123711340205,0.3157894736842105
agent_topic_reliability,number_theory,124,0.47580645161290325,0.225
agent_topic_reliability,prealgebra,164,0.5,0.07575757575757576
agent_topic_reliability,precalculus,112,0.22321428571428573,0.16666666666666666
oracle_candidate,algebra,248,0.6693548387096774,0.0
oracle_candidate,counting_&_probability,76,0.5526315789473685,0.0
oracle_candidate,geometry,82,0.4268292682926829,0.0
oracle_candidate,intermediate_algebra,194,0.37628865979381443,0.0
oracle_candidate,number_theory,124,0.5887096774193549,0.0
oracle_candidate,prealgebra,164,0.5792682926829268,0.0
oracle_candidate,precalculus,112,0.2767857142857143,0.0
overall_reliability,algebra,248,0.532258064516129,0.21875
overall_reliability,counting_&_probability,76,0.4342105263157895,0.1935483870967742
overall_reliability,geometry,82,0.34146341463414637,0.2916666666666667
overall_reliability,intermediate_algebra,194,0.26288659793814434,0.3333333333333333
overall_reliability,number_theory,124,0.47580645161290325,0.225
