segment,method,n,accuracy,c2w_risk_n,c2w_count,c2w_rate,both_wrong_n,w2c_count,w2c_rate,oracle_possible
all,4cand_confidence,1000,0.369,431,90,0.2088167053364269,569,28,0.0492091388400703,0.744
all,4cand_majority,1000,0.614,431,17,0.03944315545243619,569,200,0.351493848857645,0.744
all,agent_topic_reliability,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.744
all,oracle_candidate,1000,0.744,431,0,0.0,569,313,0.5500878734622144,0.744
all,overall_reliability,1000,0.677,431,25,0.058004640371229696,569,271,0.47627416520210897,0.744
all,pac_math_accuracy_first,1000,0.692,431,14,0.03248259860788863,569,275,0.4833040421792619,0.744
all,pac_math_adaptive_accuracy,1000,0.702,431,30,0.06960556844547564,569,301,0.5289982425307557,0.744
all,pac_math_adaptive_learned,1000,0.702,431,30,0.06960556844547564,569,301,0.5289982425307557,0.744
all,pac_math_adaptive_safety,1000,0.702,431,30,0.06960556844547564,569,301,0.5289982425307557,0.744
all,pac_math_anchor_gate,1000,0.413,431,18,0.04176334106728538,569,0,0.0,0.744
all,pac_math_cross_agent_anchor_gate,1000,0.614,431,17,0.03944315545243619,569,200,0.351493848857645,0.744
all,pac_math_cross_stage_support,1000,0.418,431,13,0.030162412993039442,569,0,0.0,0.744
all,pac_math_independent_only,1000,0.39,431,41,0.0951276102088167,569,0,0.0,0.744
all,pac_math_pair_topic_stage,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.744
all,pac_math_pair_topic_stage_guard,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.744
all,pac_math_pair_topic_stage_support_sum,1000,0.662,431,14,0.03248259860788863,569,245,0.4305799648506151,0.744
all,pac_math_router_accuracy,1000,0.697,431,14,0.03248259860788863,569,280,0.492091388400703,0.744
all,pac_math_router_balanced,1000,0.697,431,14,0.03248259860788863,569,280,0.492091388400703,0.744
all,pac_math_router_safety,1000,0.683,431,14,0.03248259860788863,569,266,0.46748681898066785,0.744
all,pac_math_safety_first,1000,0.684,431,14,0.03248259860788863,569,267,0.46924428822495606,0.744
all,pac_math_stage_gate,1000,0.696,431,14,0.03248259860788863,569,279,0.4903339191564148,0.744
all,pac_math_utility,1000,0.69,431,14,0.03248259860788863,569,273,0.4797891036906854,0.744
all,single_A,1000,0.308,431,123,0.2853828306264501,569,0,0.0,0.744
all,single_B,1000,0.305,431,126,0.2923433874709977,569,0,0.0,0.744
all,stateless_debate,1000,0.674,431,27,0.06264501160092807,569,270,0.47451669595782076,0.744
first_120,4cand_confidence,240,0.4041666666666667,120,29,0.24166666666666667,120,6,0.05,0.8125
first_120,4cand_majority,240,0.6833333333333333,120,3,0.025,120,47,0.39166666666666666,0.8125
first_120,agent_topic_reliability,240,0.7458333333333333,120,1,0.008333333333333333,120,60,0.5,0.8125
first_120,oracle_candidate,240,0.8125,120,0,0.0,120,75,0.625,0.8125
first_120,overall_reliability,240,0.7208333333333333,120,8,0.06666666666666667,120,61,0.5083333333333333,0.8125
first_120,pac_math_accuracy_first,240,0.7416666666666667,120,1,0.008333333333333333,120,59,0.49166666666666664,0.8125
first_120,pac_math_adaptive_accuracy,240,0.7458333333333333,120,11,0.09166666666666666,120,70,0.5833333333333334,0.8125
first_120,pac_math_adaptive_learned,240,0.7458333333333333,120,11,0.09166666666666666,120,70,0.5833333333333334,0.8125
first_120,pac_math_adaptive_safety,240,0.7458333333333333,120,11,0.09166666666666666,120,70,0.5833333333333334,0.8125
first_120,pac_math_anchor_gate,240,0.4791666666666667,120,5,0.041666666666666664,120,0,0.0,0.8125
first_120,pac_math_cross_agent_anchor_gate,240,0.6833333333333333,120,3,0.025,120,47,0.39166666666666666,0.8125
first_120,pac_math_cross_stage_support,240,0.49583333333333335,120,1,0.008333333333333333,120,0,0.0,0.8125
first_120,pac_math_independent_only,240,0.45416666666666666,120,11,0.09166666666666666,120,0,0.0,0.8125
first_120,pac_math_pair_topic_stage,240,0.7458333333333333,120,1,0.008333333333333333,120,60,0.5,0.8125
first_120,pac_math_pair_topic_stage_guard,240,0.7458333333333333,120,1,0.008333333333333333,120,60,0.5,0.8125
first_120,pac_math_pair_topic_stage_support_sum,240,0.7208333333333333,120,1,0.008333333333333333,120,54,0.45,0.8125
first_120,pac_math_router_accuracy,240,0.75,120,1,0.008333333333333333,120,61,0.5083333333333333,0.8125
first_120,pac_math_router_balanced,240,0.75,120,1,0.008333333333333333,120,61,0.5083333333333333,0.8125
first_120,pac_math_router_safety,240,0.7375,120,1,0.008333333333333333,120,58,0.48333333333333334,0.8125
first_120,pac_math_safety_first,240,0.7333333333333333,120,1,0.008333333333333333,120,57,0.475,0.8125
