method,acc,c2w_count,c2w_rate,preservation,selected_A0,selected_B0,selected_A1,selected_B1
stateless_debate,0.674,27,0.06264501160092807,0.9373549883990719,0,0,962,38
4cand_majority,0.614,17,0.03944315545243619,0.9605568445475638,459,217,295,29
4cand_confidence,0.369,90,0.2088167053364269,0.7911832946635731,695,173,103,29
overall_reliability,0.677,25,0.058004640371229696,0.9419953596287703,0,0,947,53
agent_topic_reliability,0.696,14,0.03248259860788863,0.9675174013921114,0,0,577,423
pac_math_pair_topic_stage,0.696,14,0.03248259860788863,0.9675174013921114,0,0,577,423
pac_math_pair_topic_stage_support_sum,0.662,14,0.03248259860788863,0.9675174013921114,391,235,332,42
pac_math_pair_topic_stage_guard,0.696,14,0.03248259860788863,0.9675174013921114,0,0,577,423
pac_math_independent_only,0.39,41,0.0951276102088167,0.9048723897911833,500,500,0,0
pac_math_safety_first,0.684,14,0.03248259860788863,0.9675174013921114,0,0,562,438
pac_math_utility,0.69,14,0.03248259860788863,0.9675174013921114,0,0,500,500
pac_math_accuracy_first,0.692,14,0.03248259860788863,0.9675174013921114,0,0,541,459
pac_math_anchor_gate,0.413,18,0.04176334106728538,0.9582366589327146,157,188,629,26
pac_math_cross_stage_support,0.418,13,0.030162412993039442,0.9698375870069605,532,375,69,24
pac_math_stage_gate,0.696,14,0.03248259860788863,0.9675174013921114,0,0,577,423
pac_math_adaptive_learned,0.702,30,0.06960556844547564,0.9303944315545244,121,77,437,365
pac_math_adaptive_accuracy,0.702,30,0.06960556844547564,0.9303944315545244,121,77,437,365
pac_math_adaptive_safety,0.702,30,0.06960556844547564,0.9303944315545244,121,77,437,365
pac_math_router_balanced,0.697,14,0.03248259860788863,0.9675174013921114,4,0,861,135
pac_math_router_accuracy,0.697,14,0.03248259860788863,0.9675174013921114,4,0,861,135
pac_math_router_safety,0.683,14,0.03248259860788863,0.9675174013921114,74,15,785,126
oracle_candidate,0.744,0,0.0,1.0,564,123,270,43
