method_a,method_b,both_correct,a_correct_b_wrong,a_wrong_b_correct,both_wrong,discordant_pairs,statistic,pvalue,note,pvalue_holm,reject_holm_0p05
pac_math_router_balanced,stateless_debate,356,54,30,560,84,6.2976190476190474,0.012090025148399783,ok,0.1571703269291972,False
pac_math_router_balanced,4cand_majority,305,105,23,567,128,51.2578125,8.099774240291924e-13,ok,1.2959638784467078e-11,True
pac_math_router_balanced,4cand_confidence,195,215,35,555,250,128.164,1.0334111627511808e-29,ok,1.9634812092272436e-28,True
pac_math_router_balanced,overall_reliability,400,10,10,580,20,0.05,0.8230632737581214,ok,1.0,False
pac_math_router_balanced,agent_topic_reliability,403,7,7,583,14,0.07142857142857142,0.7892680261342813,ok,1.0,False
pac_math_router_balanced,pac_math_pair_topic_stage_support_sum,339,71,15,575,86,35.174418604651166,3.014575962759146e-09,ok,4.521863944138719e-08,True
pac_math_router_balanced,pac_math_pair_topic_stage_guard,403,7,7,583,14,0.07142857142857142,0.7892680261342813,ok,1.0,False
pac_math_router_balanced,pac_math_independent_only,192,218,36,554,254,128.98031496062993,6.849432246689375e-30,ok,1.369886449337875e-28,True
pac_math_router_balanced,pac_math_safety_first,350,60,36,554,96,5.510416666666667,0.01890354301112133,ok,0.22684251613345596,False
pac_math_router_balanced,pac_math_utility,403,7,7,583,14,0.07142857142857142,0.7892680261342813,ok,1.0,False
pac_math_router_balanced,pac_math_accuracy_first,403,7,7,583,14,0.07142857142857142,0.7892680261342813,ok,1.0,False
pac_math_router_balanced,pac_math_anchor_gate,253,157,21,569,178,102.38764044943821,4.565411126653595e-24,ok,7.761198915311111e-23,True
pac_math_router_balanced,pac_math_cross_stage_support,264,146,15,575,161,104.96894409937889,1.240651731442646e-24,ok,2.2331731165967627e-23,True
pac_math_router_balanced,pac_math_stage_gate,403,7,7,583,14,0.07142857142857142,0.7892680261342813,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_learned,403,7,20,570,27,5.333333333333333,0.020921335337794035,ok,0.2301346887157344,False
pac_math_router_balanced,pac_math_adaptive_accuracy,403,7,20,570,27,5.333333333333333,0.020921335337794035,ok,0.2301346887157344,False
pac_math_router_balanced,pac_math_adaptive_safety,403,7,20,570,27,5.333333333333333,0.020921335337794035,ok,0.2301346887157344,False
pac_math_router_balanced,pac_math_router_accuracy,405,5,3,587,8,0.125,0.7236736098317629,ok,1.0,False
pac_math_router_balanced,pac_math_router_safety,368,42,14,576,56,13.017857142857142,0.0003085346664628331,ok,0.004319485330479664,True
pac_math_router_balanced,pac_math_pair_topic_stage,403,7,7,583,14,0.07142857142857142,0.7892680261342813,ok,1.0,False
