pair_id,method,accuracy,c2w_count,c2w_rate
phi4_14b__qwen3_8b_standard_v16,4cand_majority,0.31,40,0.2352941176470588
qwen3_8b__phi4_14b_standard_v16,4cand_majority,0.346,25,0.1488095238095238
phi4_14b__qwen3_8b_standard_v16,oracle_candidate,0.498,0,0.0
qwen3_8b__phi4_14b_standard_v16,oracle_candidate,0.532,0,0.0
phi4_14b__qwen3_8b_standard_v16,pac_math_adaptive_learned,0.402,38,0.2235294117647059
qwen3_8b__phi4_14b_standard_v16,pac_math_adaptive_learned,0.444,32,0.1904761904761904
phi4_14b__qwen3_8b_standard_v16,pac_math_pair_topic_stage,0.392,37,0.2176470588235294
qwen3_8b__phi4_14b_standard_v16,pac_math_pair_topic_stage,0.428,32,0.1904761904761904
phi4_14b__qwen3_8b_standard_v16,pac_math_router_safety,0.378,31,0.1823529411764705
qwen3_8b__phi4_14b_standard_v16,pac_math_router_safety,0.386,26,0.1547619047619047
phi4_14b__qwen3_8b_standard_v16,stateless_debate,0.39,39,0.2294117647058823
qwen3_8b__phi4_14b_standard_v16,stateless_debate,0.382,36,0.2142857142857142
