method,topic,n,accuracy,c2w_flip_rate
4cand_confidence,algebra,248,0.3790322580645161,0.21621621621621623
4cand_confidence,counting_&_probability,76,0.4342105263157895,0.18421052631578946
4cand_confidence,geometry,82,0.3780487804878049,0.20512820512820512
4cand_confidence,intermediate_algebra,194,0.37628865979381443,0.11428571428571428
4cand_confidence,number_theory,124,0.31451612903225806,0.3275862068965517
4cand_confidence,prealgebra,164,0.42073170731707316,0.2261904761904762
4cand_confidence,precalculus,112,0.26785714285714285,0.16129032258064516
4cand_majority,algebra,248,0.7661290322580645,0.018018018018018018
4cand_majority,counting_&_probability,76,0.6447368421052632,0.05263157894736842
4cand_majority,geometry,82,0.43902439024390244,0.10256410256410256
4cand_majority,intermediate_algebra,194,0.4845360824742268,0.05714285714285714
4cand_majority,number_theory,124,0.6370967741935484,0.017241379310344827
4cand_majority,prealgebra,164,0.7073170731707317,0.03571428571428571
4cand_majority,precalculus,112,0.44642857142857145,0.03225806451612903
agent_topic_reliability,algebra,248,0.8346774193548387,0.009009009009009009
agent_topic_reliability,counting_&_probability,76,0.7631578947368421,0.05263157894736842
agent_topic_reliability,geometry,82,0.5,0.10256410256410256
agent_topic_reliability,intermediate_algebra,194,0.5360824742268041,0.04285714285714286
agent_topic_reliability,number_theory,124,0.7903225806451613,0.017241379310344827
agent_topic_reliability,prealgebra,164,0.7987804878048781,0.011904761904761904
agent_topic_reliability,precalculus,112,0.5089285714285714,0.06451612903225806
oracle_candidate,algebra,248,0.9112903225806451,0.0
oracle_candidate,counting_&_probability,76,0.8157894736842105,0.0
oracle_candidate,geometry,82,0.5609756097560976,0.0
oracle_candidate,intermediate_algebra,194,0.6030927835051546,0.0
oracle_candidate,number_theory,124,0.8145161290322581,0.0
oracle_candidate,prealgebra,164,0.8048780487804879,0.0
oracle_candidate,precalculus,112,0.5357142857142857,0.0
overall_reliability,algebra,248,0.8346774193548387,0.05405405405405406
overall_reliability,counting_&_probability,76,0.7631578947368421,0.05263157894736842
overall_reliability,geometry,82,0.5,0.10256410256410256
overall_reliability,intermediate_algebra,194,0.5309278350515464,0.05714285714285714
overall_reliability,number_theory,124,0.7338709677419355,0.017241379310344827
overall_reliability,prealgebra,164,0.7560975609756098,0.047619047619047616
overall_reliability,precalculus,112,0.4732142857142857,0.12903225806451613
pac_math_accuracy_first,algebra,248,0.8346774193548387,0.009009009009009009
pac_math_accuracy_first,counting_&_probability,76,0.7105263157894737,0.05263157894736842
pac_math_accuracy_first,geometry,82,0.5,0.10256410256410256
pac_math_accuracy_first,intermediate_algebra,194,0.5360824742268041,0.04285714285714286
pac_math_accuracy_first,number_theory,124,0.7903225806451613,0.017241379310344827
pac_math_accuracy_first,prealgebra,164,0.7987804878048781,0.011904761904761904
pac_math_accuracy_first,precalculus,112,0.5089285714285714,0.06451612903225806
pac_math_adaptive_accuracy,algebra,248,0.8629032258064516,0.07207207207207207
pac_math_adaptive_accuracy,counting_&_probability,76,0.7631578947368421,0.07894736842105263
pac_math_adaptive_accuracy,geometry,82,0.5,0.1282051282051282
pac_math_adaptive_accuracy,intermediate_algebra,194,0.5618556701030928,0.05714285714285714
pac_math_adaptive_accuracy,number_theory,124,0.782258064516129,0.017241379310344827
pac_math_adaptive_accuracy,prealgebra,164,0.7804878048780488,0.047619047619047616
pac_math_adaptive_accuracy,precalculus,112,0.49107142857142855,0.16129032258064516
pac_math_adaptive_learned,algebra,248,0.8629032258064516,0.07207207207207207
pac_math_adaptive_learned,counting_&_probability,76,0.7631578947368421,0.07894736842105263
pac_math_adaptive_learned,geometry,82,0.5,0.1282051282051282
pac_math_adaptive_learned,intermediate_algebra,194,0.5618556701030928,0.05714285714285714
pac_math_adaptive_learned,number_theory,124,0.782258064516129,0.017241379310344827
pac_math_adaptive_learned,prealgebra,164,0.7804878048780488,0.047619047619047616
pac_math_adaptive_learned,precalculus,112,0.49107142857142855,0.16129032258064516
pac_math_adaptive_safety,algebra,248,0.8629032258064516,0.07207207207207207
pac_math_adaptive_safety,counting_&_probability,76,0.7631578947368421,0.07894736842105263
pac_math_adaptive_safety,geometry,82,0.5,0.1282051282051282
pac_math_adaptive_safety,intermediate_algebra,194,0.5618556701030928,0.05714285714285714
pac_math_adaptive_safety,number_theory,124,0.782258064516129,0.017241379310344827
pac_math_adaptive_safety,prealgebra,164,0.7804878048780488,0.047619047619047616
pac_math_adaptive_safety,precalculus,112,0.49107142857142855,0.16129032258064516
pac_math_anchor_gate,algebra,248,0.43951612903225806,0.018018018018018018
pac_math_anchor_gate,counting_&_probability,76,0.47368421052631576,0.05263157894736842
pac_math_anchor_gate,geometry,82,0.4146341463414634,0.1282051282051282
pac_math_anchor_gate,intermediate_algebra,194,0.3402061855670103,0.05714285714285714
pac_math_anchor_gate,number_theory,124,0.4596774193548387,0.017241379310344827
pac_math_anchor_gate,prealgebra,164,0.49390243902439024,0.03571428571428571
pac_math_anchor_gate,precalculus,112,0.26785714285714285,0.03225806451612903
pac_math_cross_agent_anchor_gate,algebra,248,0.7661290322580645,0.018018018018018018
pac_math_cross_agent_anchor_gate,counting_&_probability,76,0.6447368421052632,0.05263157894736842
pac_math_cross_agent_anchor_gate,geometry,82,0.43902439024390244,0.10256410256410256
pac_math_cross_agent_anchor_gate,intermediate_algebra,194,0.4845360824742268,0.05714285714285714
pac_math_cross_agent_anchor_gate,number_theory,124,0.6370967741935484,0.017241379310344827
pac_math_cross_agent_anchor_gate,prealgebra,164,0.7073170731707317,0.03571428571428571
pac_math_cross_agent_anchor_gate,precalculus,112,0.44642857142857145,0.03225806451612903
pac_math_cross_stage_support,algebra,248,0.4435483870967742,0.009009009009009009
