method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds,mean_full_run_tokens,mean_full_run_wall_time_seconds
4cand_confidence,1000,0.23,338,110,0.3254437869822485,662,2,0.0030211480362537764,0.6745562130177515,0.515,0.28500000000000003,2825.073,74.9703744775,2825.073,89.09028120088577
4cand_majority,1000,0.328,338,65,0.19230769230769232,662,55,0.08308157099697885,0.8076923076923077,0.515,0.187,2825.073,74.9703744775,2825.073,89.09028120088577
agent_topic_reliability,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.7958579881656804,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
oracle_candidate,1000,0.515,338,0,0.0,662,177,0.2673716012084592,1.0,0.515,0.0,2825.073,74.9703744775,2825.073,89.09028120088577
overall_reliability,1000,0.41,338,71,0.21005917159763313,662,143,0.21601208459214502,0.7899408284023669,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_accuracy_first,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.7958579881656804,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_adaptive_accuracy,1000,0.423,338,70,0.20710059171597633,662,155,0.23413897280966767,0.7928994082840237,0.515,0.09200000000000003,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_adaptive_learned,1000,0.423,338,70,0.20710059171597633,662,155,0.23413897280966767,0.7928994082840237,0.515,0.09200000000000003,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_adaptive_safety,1000,0.423,338,70,0.20710059171597633,662,155,0.23413897280966767,0.7928994082840237,0.515,0.09200000000000003,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_anchor_gate,1000,0.274,338,64,0.1893491124260355,662,0,0.0,0.8106508875739645,0.515,0.241,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_cross_agent_anchor_gate,1000,0.327,338,66,0.1952662721893491,662,55,0.08308157099697885,0.8047337278106509,0.515,0.188,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_cross_stage_support,1000,0.279,338,59,0.17455621301775148,662,0,0.0,0.8254437869822485,0.515,0.236,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_independent_only,1000,0.228,338,110,0.3254437869822485,662,0,0.0,0.6745562130177515,0.515,0.28700000000000003,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_pair_topic_stage,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.7958579881656804,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_pair_topic_stage_guard,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.7958579881656804,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_pair_topic_stage_support_sum,1000,0.354,338,61,0.1804733727810651,662,77,0.1163141993957704,0.8195266272189349,0.515,0.16100000000000003,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_router_accuracy,1000,0.408,338,68,0.20118343195266272,662,138,0.2084592145015106,0.7988165680473372,0.515,0.10700000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_router_balanced,1000,0.41,338,68,0.20118343195266272,662,140,0.21148036253776434,0.7988165680473372,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_router_safety,1000,0.382,338,57,0.16863905325443787,662,101,0.15256797583081572,0.8313609467455622,0.515,0.133,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_safety_first,1000,0.386,338,72,0.21301775147928995,662,120,0.18126888217522658,0.7869822485207101,0.515,0.129,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_stage_gate,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.7958579881656804,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
pac_math_utility,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.7958579881656804,0.515,0.10500000000000004,2825.073,74.9703744775,2825.073,89.09028120088577
single_A,1000,0.228,338,110,0.3254437869822485,662,0,0.0,0.6745562130177515,0.515,0.28700000000000003,350.824,15.615761177699998,2825.073,89.09028120088577
single_B,1000,0.23,338,108,0.31952662721893493,662,0,0.0,0.6804733727810651,0.515,0.28500000000000003,347.529,15.2472381718,2825.073,89.09028120088577
stateless_debate,1000,0.386,338,75,0.22189349112426035,662,123,0.18580060422960726,0.7781065088757396,0.515,0.129,2825.073,74.9703744775,2825.073,89.09028120088577
