method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds
4cand_confidence,240,0.4125,121,29,0.2396694214876033,119,7,0.0588235294117647,0.7603305785123967,0.8166666666666667,0.4041666666666667,4084.633333333333,38.73896394560417
overall_reliability,240,0.7583333333333333,121,2,0.0165289256198347,119,63,0.5294117647058824,0.9834710743801652,0.8166666666666667,0.0583333333333333,4084.633333333333,38.73896394560417
agent_topic_reliability,240,0.7666666666666667,121,2,0.0165289256198347,119,65,0.5462184873949579,0.9834710743801652,0.8166666666666667,0.0499999999999999,4084.633333333333,38.73896394560417
pac_math_anchor_gate,240,0.4833333333333333,121,5,0.0413223140495867,119,0,0.0,0.9586776859504132,0.8166666666666667,0.3333333333333333,4084.633333333333,38.73896394560417
pac_math_cross_stage_support,240,0.4958333333333333,121,2,0.0165289256198347,119,0,0.0,0.9834710743801652,0.8166666666666667,0.3208333333333333,4084.633333333333,38.73896394560417
pac_math_cross_agent_anchor_gate,240,0.6833333333333333,121,4,0.0330578512396694,119,47,0.3949579831932773,0.9669421487603306,0.8166666666666667,0.1333333333333333,4084.633333333333,38.73896394560417
pac_math_pair_topic_stage_support_sum,240,0.7375,121,2,0.0165289256198347,119,58,0.4873949579831932,0.9834710743801652,0.8166666666666667,0.0791666666666666,4084.633333333333,38.73896394560417
pac_math_router_balanced,240,0.7458333333333333,121,6,0.0495867768595041,119,64,0.5378151260504201,0.950413223140496,0.8166666666666667,0.0708333333333333,4084.633333333333,38.73896394560417
pac_math_router_accuracy,240,0.7583333333333333,121,4,0.0330578512396694,119,65,0.5462184873949579,0.9669421487603306,0.8166666666666667,0.0583333333333333,4084.633333333333,38.73896394560417
pac_math_safety_first,240,0.7583333333333333,121,3,0.024793388429752,119,64,0.5378151260504201,0.975206611570248,0.8166666666666667,0.0583333333333333,4084.633333333333,38.73896394560417
