segment,method,n,accuracy,c2w_risk_n,c2w_count,c2w_rate,both_wrong_n,w2c_count,w2c_rate,oracle_possible
all,4cand_confidence,120,0.4166666666666667,40,1,0.025,80,11,0.1375,0.5333333333333333
all,4cand_majority,120,0.3333333333333333,40,0,0.0,80,0,0.0,0.5333333333333333
all,agent_topic_reliability,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,oracle_candidate,120,0.5333333333333333,40,0,0.0,80,24,0.3,0.5333333333333333
all,overall_reliability,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_accuracy_first,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_adaptive_accuracy,120,0.48333333333333334,40,2,0.05,80,20,0.25,0.5333333333333333
all,pac_math_adaptive_learned,120,0.48333333333333334,40,2,0.05,80,20,0.25,0.5333333333333333
all,pac_math_adaptive_safety,120,0.48333333333333334,40,2,0.05,80,20,0.25,0.5333333333333333
all,pac_math_anchor_gate,120,0.325,40,1,0.025,80,0,0.0,0.5333333333333333
all,pac_math_cross_agent_anchor_gate,120,0.3333333333333333,40,0,0.0,80,0,0.0,0.5333333333333333
all,pac_math_cross_stage_support,120,0.31666666666666665,40,2,0.05,80,0,0.0,0.5333333333333333
all,pac_math_independent_only,120,0.275,40,7,0.175,80,0,0.0,0.5333333333333333
all,pac_math_pair_topic_stage,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_pair_topic_stage_guard,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_pair_topic_stage_support_sum,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_router_accuracy,120,0.4666666666666667,40,4,0.1,80,20,0.25,0.5333333333333333
all,pac_math_router_balanced,120,0.4666666666666667,40,4,0.1,80,20,0.25,0.5333333333333333
all,pac_math_router_safety,120,0.3416666666666667,40,3,0.075,80,4,0.05,0.5333333333333333
all,pac_math_safety_first,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_stage_gate,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,pac_math_utility,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.5333333333333333
all,single_A,120,0.15,40,22,0.55,80,0,0.0,0.5333333333333333
all,single_B,120,0.26666666666666666,40,8,0.2,80,0,0.0,0.5333333333333333
all,stateless_debate,120,0.5166666666666667,40,2,0.05,80,24,0.3,0.5333333333333333
