pair_id,method,n,acc,risk_n,c2w_count,c2w_rate
qwen36_27b__phi4_14b_standard_v17,4cand_confidence,120,0.4166666666666667,40,1,0.025
qwen36_27b__phi4_14b_standard_v17,4cand_majority,120,0.3333333333333333,40,0,0.0
qwen36_27b__phi4_14b_standard_v17,agent_topic_reliability,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,oracle_candidate,120,0.5333333333333333,40,0,0.0
qwen36_27b__phi4_14b_standard_v17,overall_reliability,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_accuracy_first,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_adaptive_accuracy,120,0.48333333333333334,40,2,0.05
qwen36_27b__phi4_14b_standard_v17,pac_math_adaptive_learned,120,0.48333333333333334,40,2,0.05
qwen36_27b__phi4_14b_standard_v17,pac_math_adaptive_safety,120,0.48333333333333334,40,2,0.05
qwen36_27b__phi4_14b_standard_v17,pac_math_anchor_gate,120,0.325,40,1,0.025
qwen36_27b__phi4_14b_standard_v17,pac_math_cross_stage_support,120,0.31666666666666665,40,2,0.05
qwen36_27b__phi4_14b_standard_v17,pac_math_independent_only,120,0.275,40,7,0.175
qwen36_27b__phi4_14b_standard_v17,pac_math_pair_topic_stage,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_pair_topic_stage_guard,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_pair_topic_stage_support_sum,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_router_accuracy,120,0.4666666666666667,40,4,0.1
qwen36_27b__phi4_14b_standard_v17,pac_math_router_balanced,120,0.4666666666666667,40,4,0.1
qwen36_27b__phi4_14b_standard_v17,pac_math_router_safety,120,0.3416666666666667,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_safety_first,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_stage_gate,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,pac_math_utility,120,0.5083333333333333,40,3,0.075
qwen36_27b__phi4_14b_standard_v17,stateless_debate,120,0.5166666666666667,40,2,0.05
