method,acc,c2w_count,c2w_rate,preservation,selected_A0,selected_B0,selected_A1,selected_B1
stateless_debate,0.7208333333333333,11,0.09090909090909091,0.9090909090909091,0,0,230,10
4cand_majority,0.6833333333333333,4,0.03305785123966942,0.9669421487603306,114,46,75,5
4cand_confidence,0.4125,29,0.2396694214876033,0.7603305785123967,171,39,23,7
overall_reliability,0.7583333333333333,2,0.01652892561983471,0.9834710743801653,0,0,120,120
agent_topic_reliability,0.7666666666666667,2,0.01652892561983471,0.9834710743801653,0,0,120,120
pac_math_pair_topic_stage,0.7666666666666667,2,0.01652892561983471,0.9834710743801653,0,0,120,120
pac_math_pair_topic_stage_support_sum,0.7375,2,0.01652892561983471,0.9834710743801653,99,51,81,9
pac_math_pair_topic_stage_guard,0.7666666666666667,2,0.01652892561983471,0.9834710743801653,0,0,120,120
pac_math_independent_only,0.4625,10,0.08264462809917356,0.9173553719008265,120,120,0,0
pac_math_safety_first,0.7583333333333333,3,0.024793388429752067,0.9752066115702479,0,0,124,116
pac_math_utility,0.7666666666666667,2,0.01652892561983471,0.9834710743801653,0,0,120,120
pac_math_accuracy_first,0.7666666666666667,2,0.01652892561983471,0.9834710743801653,0,0,120,120
pac_math_anchor_gate,0.48333333333333334,5,0.04132231404958678,0.9586776859504132,37,42,152,9
pac_math_cross_stage_support,0.49583333333333335,2,0.01652892561983471,0.9834710743801653,133,82,21,4
pac_math_stage_gate,0.7666666666666667,2,0.01652892561983471,0.9834710743801653,0,0,120,120
pac_math_adaptive_learned,0.7541666666666667,9,0.0743801652892562,0.9256198347107438,34,29,83,94
pac_math_adaptive_accuracy,0.7541666666666667,9,0.0743801652892562,0.9256198347107438,34,29,83,94
pac_math_adaptive_safety,0.7541666666666667,9,0.0743801652892562,0.9256198347107438,34,29,83,94
pac_math_router_balanced,0.7458333333333333,6,0.049586776859504134,0.9504132231404959,0,0,169,71
pac_math_router_accuracy,0.7583333333333333,4,0.03305785123966942,0.9669421487603306,0,0,160,80
pac_math_router_safety,0.7458333333333333,6,0.049586776859504134,0.9504132231404959,0,0,169,71
oracle_candidate,0.8166666666666667,0,0.0,1.0,129,36,65,10
