method_a,method_b,both_correct,a_correct_b_wrong,a_wrong_b_correct,both_wrong,discordant_pairs,statistic,pvalue,note,pvalue_holm,reject_holm_0p05
pac_math_router_balanced,stateless_debate,55,1,7,57,8,3.125,0.07709987174354202,ok,1.0,False
pac_math_router_balanced,4cand_majority,36,20,4,60,24,9.375,0.00219964706111306,ok,0.03519435297780896,True
pac_math_router_balanced,4cand_confidence,47,9,3,61,12,2.0833333333333335,0.14891467317876161,ok,1.0,False
pac_math_router_balanced,overall_reliability,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,agent_topic_reliability,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_pair_topic_stage_support_sum,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_pair_topic_stage_guard,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_independent_only,29,27,4,60,31,15.612903225806452,7.772240795323116e-05,ok,0.0015544481590646232,True
pac_math_router_balanced,pac_math_safety_first,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_utility,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_accuracy_first,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_anchor_gate,35,21,4,60,25,10.24,0.0013742758758316976,ok,0.02336268988913886,True
pac_math_router_balanced,pac_math_cross_stage_support,34,22,4,60,26,11.115384615384615,0.0008561456864208797,ok,0.015410622355575833,True
pac_math_router_balanced,pac_math_stage_gate,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_learned,55,1,3,61,4,0.25,0.6170750774519739,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_accuracy,55,1,3,61,4,0.25,0.6170750774519739,ok,1.0,False
pac_math_router_balanced,pac_math_adaptive_safety,55,1,3,61,4,0.25,0.6170750774519739,ok,1.0,False
pac_math_router_balanced,pac_math_router_accuracy,56,0,0,64,0,0.0,1.0,no_discordant_pairs,1.0,False
pac_math_router_balanced,pac_math_router_safety,40,16,1,63,17,11.529411764705882,0.0006850368653792266,ok,0.013015700442205305,True
pac_math_router_balanced,pac_math_pair_topic_stage,54,2,7,57,9,1.7777777777777777,0.18242243945173198,ok,1.0,False
