method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds,mean_full_run_tokens,mean_full_run_wall_time_seconds
4cand_confidence,120,0.4166666666666667,40,1,0.025,80,11,0.1375,0.975,0.5333333333333333,0.11666666666666664,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
4cand_majority,120,0.3333333333333333,40,0,0.0,80,0,0.0,1.0,0.5333333333333333,0.2,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
agent_topic_reliability,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
oracle_candidate,120,0.5333333333333333,40,0,0.0,80,24,0.3,1.0,0.5333333333333333,0.0,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
overall_reliability,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_accuracy_first,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_adaptive_accuracy,120,0.48333333333333334,40,2,0.05,80,20,0.25,0.95,0.5333333333333333,0.04999999999999999,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_adaptive_learned,120,0.48333333333333334,40,2,0.05,80,20,0.25,0.95,0.5333333333333333,0.04999999999999999,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_adaptive_safety,120,0.48333333333333334,40,2,0.05,80,20,0.25,0.95,0.5333333333333333,0.04999999999999999,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_anchor_gate,120,0.325,40,1,0.025,80,0,0.0,0.975,0.5333333333333333,0.20833333333333331,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_cross_agent_anchor_gate,120,0.3333333333333333,40,0,0.0,80,0,0.0,1.0,0.5333333333333333,0.2,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_cross_stage_support,120,0.31666666666666665,40,2,0.05,80,0,0.0,0.95,0.5333333333333333,0.21666666666666667,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_independent_only,120,0.275,40,7,0.175,80,0,0.0,0.825,0.5333333333333333,0.2583333333333333,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_pair_topic_stage,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_pair_topic_stage_guard,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_pair_topic_stage_support_sum,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_router_accuracy,120,0.4666666666666667,40,4,0.1,80,20,0.25,0.9,0.5333333333333333,0.06666666666666665,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_router_balanced,120,0.4666666666666667,40,4,0.1,80,20,0.25,0.9,0.5333333333333333,0.06666666666666665,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_router_safety,120,0.3416666666666667,40,3,0.075,80,4,0.05,0.925,0.5333333333333333,0.19166666666666665,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_safety_first,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_stage_gate,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
pac_math_utility,120,0.5083333333333333,40,3,0.075,80,24,0.3,0.925,0.5333333333333333,0.025000000000000022,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
single_A,120,0.15,40,22,0.55,80,0,0.0,0.45,0.5333333333333333,0.3833333333333333,972.9583333333334,21.300718059608336,4655.983333333334,146.17686136166256
single_B,120,0.26666666666666666,40,8,0.2,80,0,0.0,0.8,0.5333333333333333,0.26666666666666666,423.325,4.055797291266667,4655.983333333334,146.17686136166256
stateless_debate,120,0.5166666666666667,40,2,0.05,80,24,0.3,0.95,0.5333333333333333,0.016666666666666607,4655.983333333334,70.77533188244166,4655.983333333334,146.17686136166256
