pair_id,method,n,acc,risk_n,c2w_count,c2w_rate
qwen3_8b_A__qwen3_8b_B,4cand_confidence,8,0.375,3,0,0.0
qwen3_8b_A__qwen3_8b_B,4cand_majority,8,0.375,3,0,0.0
qwen3_8b_A__qwen3_8b_B,agent_topic_reliability,8,0.375,3,0,0.0
qwen3_8b_A__qwen3_8b_B,oracle_candidate,8,0.375,3,0,0.0
qwen3_8b_A__qwen3_8b_B,overall_reliability,8,0.375,3,0,0.0
qwen3_8b_A__qwen3_8b_B,pac_math_pair_topic_stage,8,0.375,3,0,0.0
qwen3_8b_A__qwen3_8b_B,stateless_debate,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,4cand_confidence,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,4cand_majority,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,agent_topic_reliability,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,oracle_candidate,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,overall_reliability,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,pac_math_pair_topic_stage,8,0.375,3,0,0.0
qwen3_8b__llama31_8b,stateless_debate,8,0.375,3,0,0.0
