pair_id,agent_id,topic,stage,correct,total,rate_smoothed_basic
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,intermediate_algebra,independent,1,2,0.5
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,intermediate_algebra,independent,1,2,0.5
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,intermediate_algebra,post_debate,1,2,0.5
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,intermediate_algebra,post_debate,1,2,0.5
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,number_theory,independent,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,number_theory,independent,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,number_theory,post_debate,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,number_theory,post_debate,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,algebra,independent,1,3,0.4
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,algebra,independent,1,3,0.4
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,algebra,post_debate,1,3,0.4
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,algebra,post_debate,1,3,0.4
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,prealgebra,independent,1,1,0.6666666666666666
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,prealgebra,independent,1,1,0.6666666666666666
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,prealgebra,post_debate,1,1,0.6666666666666666
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,prealgebra,post_debate,1,1,0.6666666666666666
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,counting_&_probability,independent,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,counting_&_probability,independent,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__A,counting_&_probability,post_debate,0,1,0.3333333333333333
qwen3_8b_A__qwen3_8b_B,qwen3_8b_A__qwen3_8b_B__B,counting_&_probability,post_debate,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,intermediate_algebra,independent,1,2,0.5
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,intermediate_algebra,independent,0,2,0.25
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,intermediate_algebra,post_debate,0,2,0.25
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,intermediate_algebra,post_debate,1,2,0.5
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,number_theory,independent,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,number_theory,independent,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,number_theory,post_debate,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,number_theory,post_debate,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,algebra,independent,1,3,0.4
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,algebra,independent,0,3,0.2
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,algebra,post_debate,1,3,0.4
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,algebra,post_debate,1,3,0.4
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,prealgebra,independent,1,1,0.6666666666666666
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,prealgebra,independent,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,prealgebra,post_debate,1,1,0.6666666666666666
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,prealgebra,post_debate,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,counting_&_probability,independent,0,1,0.3333333333333333
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,counting_&_probability,independent,1,1,0.6666666666666666
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__A,counting_&_probability,post_debate,1,1,0.6666666666666666
qwen3_8b__llama31_8b,qwen3_8b__llama31_8b__B,counting_&_probability,post_debate,0,1,0.3333333333333333
