method,topic,n,accuracy,c2w_flip_rate
4cand_confidence,algebra,4,0.0,
4cand_confidence,intermediate_algebra,2,0.0,
4cand_confidence,number_theory,4,0.5,0.0
4cand_confidence,prealgebra,2,1.0,0.0
4cand_confidence,precalculus,4,0.5,0.0
4cand_majority,algebra,4,0.0,
4cand_majority,intermediate_algebra,2,0.0,
4cand_majority,number_theory,4,0.5,0.0
4cand_majority,prealgebra,2,1.0,0.0
4cand_majority,precalculus,4,0.5,0.0
agent_topic_reliability,algebra,4,0.0,
agent_topic_reliability,intermediate_algebra,2,0.0,
agent_topic_reliability,number_theory,4,0.5,0.0
agent_topic_reliability,prealgebra,2,1.0,0.0
agent_topic_reliability,precalculus,4,0.5,0.0
oracle_candidate,algebra,4,0.0,
oracle_candidate,intermediate_algebra,2,0.0,
oracle_candidate,number_theory,4,0.5,0.0
oracle_candidate,prealgebra,2,1.0,0.0
oracle_candidate,precalculus,4,0.5,0.0
overall_reliability,algebra,4,0.0,
overall_reliability,intermediate_algebra,2,0.0,
overall_reliability,number_theory,4,0.5,0.0
overall_reliability,prealgebra,2,1.0,0.0
overall_reliability,precalculus,4,0.5,0.0
pac_math_pair_topic_stage,algebra,4,0.0,
pac_math_pair_topic_stage,intermediate_algebra,2,0.0,
pac_math_pair_topic_stage,number_theory,4,0.5,0.0
pac_math_pair_topic_stage,prealgebra,2,1.0,0.0
pac_math_pair_topic_stage,precalculus,4,0.5,0.0
single_A,algebra,4,0.0,
single_A,intermediate_algebra,2,0.0,
single_A,number_theory,4,0.5,0.0
single_A,prealgebra,2,1.0,0.0
single_A,precalculus,4,0.5,0.0
single_B,algebra,4,0.0,
single_B,intermediate_algebra,2,0.0,
single_B,number_theory,4,0.25,0.5
single_B,prealgebra,2,0.5,0.5
single_B,precalculus,4,0.25,0.5
stateless_debate,algebra,4,0.0,
stateless_debate,intermediate_algebra,2,0.0,
stateless_debate,number_theory,4,0.5,0.0
stateless_debate,prealgebra,2,1.0,0.0
stateless_debate,precalculus,4,0.5,0.0
